# SYNTHETIQUE - donnees fiscales entierement FICTIVES, generees
# aleatoirement (seed=42), AUCUN lien avec de vraies declarations
# DGI. Demontre le mecanisme de croisement marches<->fiscal par nom
# d'entreprise normalise, ne le valide pas. Voir
# scripts/generate_fiscal_reference.py.
company_id,company_normalized_name,annee_declaration,chiffre_affaires_declare_dhs,resultat_net_declare_dhs,taux_imposition_effectif,source
9,SOCETE GHARB VEHICULES INDUSTRIELS,2022,2858000.0,427700.0,0.103,SYNTHETIQUE_DEMO_PAS_DGI
49,ELEXPERT SARL DE CASABLANCA,2024,569000.0,77100.0,0.148,SYNTHETIQUE_DEMO_PAS_DGI
73,/ LA SOCIETE AUTO HALL-S A,2023,4879000.0,312600.0,0.128,SYNTHETIQUE_DEMO_PAS_DGI
95,SYAM ATLAS,2024,6130000.0,799500.0,0.242,SYNTHETIQUE_DEMO_PAS_DGI
110,0-0 E BOTECH,2023,191000.0,8200.0,0.126,SYNTHETIQUE_DEMO_PAS_DGI
32,BRAYOU TRAVAUX / 7720 504,2024,416000.0,62400.0,0.206,SYNTHETIQUE_DEMO_PAS_DGI
184,SOCHTRAP - OFFRE DE BASE,2022,2312000.0,254000.0,0.246,SYNTHETIQUE_DEMO_PAS_DGI
5,TANSIFT CONTRACTOR DIRECT 09/12/2025 30/12/2025,2022,1357000.0,146600.0,0.222,SYNTHETIQUE_DEMO_PAS_DGI
77,ARCHITECTE MONTANT DE L ACTE D ENGAGEMENT,2023,1943000.0,79400.0,0.142,SYNTHETIQUE_DEMO_PAS_DGI
156,GR- STE GUW ET SASD,2024,712000.0,98000.0,0.269,SYNTHETIQUE_DEMO_PAS_DGI
15,CONCARRENT RETENU MONTANT DE L ACTE D ENGOGEMENT STE ANKOURI GROUPE,2024,5696000.0,190700.0,0.25,SYNTHETIQUE_DEMO_PAS_DGI
40,EN DIRHAM TTC,2023,5042000.0,297000.0,0.255,SYNTHETIQUE_DEMO_PAS_DGI
183,- STE ATLAS HANDASSA SARL -STE AMICALE DES TRAVAUX DE POINTE,2023,2146000.0,101200.0,0.128,SYNTHETIQUE_DEMO_PAS_DGI
14,GROUP SADE-CGTH / CTHM - OFFRE BASE,2023,7669000.0,944900.0,0.126,SYNTHETIQUE_DEMO_PAS_DGI
105,DES PLIS COMMISSIO,2024,3475000.0,186900.0,0.295,SYNTHETIQUE_DEMO_PAS_DGI
21,[STE GROUPE GSASARLAU __ 1 - 0,2023,707000.0,98500.0,0.183,SYNTHETIQUE_DEMO_PAS_DGI
48,VAROSSE,2023,3086000.0,335600.0,0.163,SYNTHETIQUE_DEMO_PAS_DGI
75,OFFRE AYANT OBTENUE LA NOTE GLOBALE LA ELEVEE,2024,627000.0,21500.0,0.203,SYNTHETIQUE_DEMO_PAS_DGI
176,BUSINESS HELP -,2022,5690000.0,174400.0,0.239,SYNTHETIQUE_DEMO_PAS_DGI
92,- STE BOURAF TRAVAUX SARL DR IKISS IKNIOUNE TINGHIR,2024,1867000.0,67600.0,0.301,SYNTHETIQUE_DEMO_PAS_DGI
114,INFRUCTUEUX,2022,1588000.0,163100.0,0.16,SYNTHETIQUE_DEMO_PAS_DGI
42,MOINS-DISANT,2022,876000.0,110500.0,0.294,SYNTHETIQUE_DEMO_PAS_DGI
123,ABAACHE NEGOCE,2024,8598000.0,504100.0,0.105,SYNTHETIQUE_DEMO_PAS_DGI
