# Table de correspondance sigle -> raison sociale complete.
#
# POURQUOI CE FICHIER EXISTE
# La table `companies` ne contient que ce que le PV imprime, souvent un
# sigle ("NOVEC", "SGIAT", "TFC"). Ce fichier lui associe la raison sociale
# complete, verifiee a la main.
#
# LA COLONNE QUI COMPTE : `confirme_dans_le_document`
# Une recherche web repond a "ce nom existe-t-il ?". La question qui compte
# est "CE document parle-t-il de cette entreprise ?". Les deux ne coincident
# pas toujours, et l'ecart peut fabriquer une accusation :
#
#   TFC : "Les Travaux de Fluide de Casablanca" existe reellement. Mais dans
#   le seul document du corpus ou "TFC" apparait (91c4c9e17fc3), c'est
#   l'en-tete de colonne "Montant TTC" mal lu par l'OCR — le vrai
#   attributaire est LA MAROCAINE D'ASSAINISSEMENT ET D'ENVIRONNEMENT,
#   ligne suivante, 650 880 MAD. Rattacher ce marche a TFC Casablanca sur la
#   foi du web aurait credite une entreprise reelle d'un marche auquel elle
#   n'a jamais soumissionne, avec un score de risque a cote.
#
# REGLE : `oui` exige d'avoir OUVERT le PDF source et vu le nom. Une
# correspondance web seule reste `a_verifier` et n'est PAS affichee comme
# un fait par le dashboard. `non` = piege identifie, ne jamais rattacher.
#
# Genere/complete a la main. Colonnes :
#   normalized_name  la cle exacte de companies.normalized_name
#   nom_corrige      nom de remplacement quand le libelle extrait est
#                    inutilisable comme identite mais contient un nom lisible.
#                    Applique par database/crud/companies.py AVANT la
#                    normalisation. Vide dans la quasi-totalite des cas.
#   nom_complet      la raison sociale, ou vide si non etabli
#   ville            si connue
#   source_url       d'ou vient l'information
#   confirme_dans_le_document  oui | non | a_verifier
#   verifie_le       AAAA-MM-JJ
#   notes            tout ce qui a surpris
normalized_name,nom_complet,nom_corrige,ville,source_url,confirme_dans_le_document,verifie_le,notes
2-ZZ-431 DU 0G 0L1IOZS,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'conformement a l'article 43 du decret n 2-ZZ-431' — un decret.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Numero de decret degrade par l'OCR (2-22-431)."
ABAACHE NEGOCE,STE ABAACHE NEGOCE SARL,,Es-Semara / Laayoune,https://www.charika.ma/societe-abaache-negoce-372226,a_verifier,2026-08-27,"CORROBORATION INTERESSANTE : la presse economique (Medias24) lui attribue la construction de la plateforme de reserves de premiere necessite de Guelmim-Oued Noun (64,6 MDH), EN GROUPEMENT AVEC 'IMILCHIL' — or 'SOCIETE IMILCHIL' figure aussi dans le corpus (doc b0433c6d2fee). Deux sources independantes, meme association d'entreprises."
ACHRAF SPORT,ACHRAF SPORT (vetements et materiel de sport),,Marrakech,https://maroc.welipro.com/c/achraf-sport-581666359,a_verifier,2026-08-27,"Fabrication et commercialisation de vetements et accessoires de sport, gros et detail, import-export."
ADMIRAL DIGITAL CONSULTING,"ADMIRAL DIGITAL CONSULTING SARL (conseil SI, data, IA)",,Casablanca,https://www.charika.ma/societe-admiral-digital-consulting-404529,a_verifier,2026-08-27,"18 bd d'Anfa, Casablanca. Capital 100 000 DH, 20-49 salaries, creee en 2014. RC 306623 Casablanca, ICE 000527065000018. Specialiste data engineering, secteurs prive et public."
ADV MAROC,ADV MAROC,,,https://www.charika.ma/societe-adv-maroc-198831,a_verifier,2026-08-27,"INCOHERENCE A LEVER : fiche CHARIKA 198831, objet social petrolier. Sixieme cas de ce profil dans le corpus."
AEBDM,"AEBDM SA (integrateur solutions TIC, reseaux et telecoms)",,Casablanca,https://www.aebdm.ma/historique-dates-cles/,a_verifier,2026-08-27,"20 rue Theophile Gautier, Casablanca. SA creee le 31/12/2001, 50-70 salaries. Issue du rachat en 2003 de la filiale marocaine d'Alcatel-Lucent Enterprise par le groupe MEDTECH."
AF TECHNOLOGY 3N SYSTEMS TMAY INFO CT CHRONO TECH,Groupement AF TECHNOLOGY + 3N SYSTEMES + TMAY INFO + CHRONO TECH,,,https://www.charika.ma/societe-3n-systemes-249605,a_verifier,2026-08-27,"TROIS DES QUATRE MEMBRES IDENTIFIES, TOUS DANS L'INFORMATIQUE — groupement coherent. 3N SYSTEMES : fondee en 2009 par Hassan Nasreddine, 25 salaries, datacenters, cybersecurite, videosurveillance ; partenaire Dell Platinum, HP, Cisco, Oracle, Kaspersky. AF TECHNOLOGY : CHARIKA 482684, conseil systemes et logiciels, developpement, formation. CHRONO TECH : voir son entree propre (infrastructure IT, Casablanca). 'TMAY INFO' non identifie."
AGRI INVEST DEVELOPMENT,AID Maroc — Agri Invest Development (bureau d'etudes et conseil agro),,Agadir,https://www.charika.ma/societe-agri-invest-development-462492,a_verifier,2026-08-27,"Residence Yasmine, av. Caddi Ayad, Agadir-Ida Ou Tanane. RC 31613, ICE 000156645000076. Ingenieurs agronomes, agro-economistes, genie rural, environnementalistes. aid-maroc.com. Coherent avec le brut '* Societe AGRI INVEST DEVELOPMENT Sarl sise a Agadir'."
AKLIM,"AKLIM SARL (mobilier urbain, agres sportifs)",,Sale,https://aklim.ma/,a_verifier,2026-08-27,"Conception/fabrication de mobilier urbain, voirie et reseaux divers. References : Rabat Amenagement, Casa Amenagement, OCP. Fiche CHARIKA 351154."
ALHAYAT TEC,Societe ALHAYAT TEC SARL,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. Nombreuses entites 'Al Hayat' au Maroc (groupe agroalimentaire, centre d'oncologie a Meknes, the) mais aucune 'TEC'."
ALI OUBANE TRAVAUX,ALI OUBANE TRAVAUX,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Nom confirme tel quel. NON TROUVEE (recherche 27/08/2026).
ALIANCE HOLDING,Ste ALIANCE HOLDING,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] AMBIGU — 'ALIANCE' avec un seul L ne correspond a aucune fiche. Deux candidats sans lien entre eux : Alliances Developpement Immobilier (cotee, Casablanca) et Alliance Holding (energie/BTP/tech). NE PAS rattacher."
ALL MTGI,ALL MTGI,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] Nom confirme tel quel : 'ALL' fait partie du nom. NON RECHERCHEE — quota de recherche web de la session epuise (200/200) le 27/08/2026. A REPRENDRE EN PRIORITE : un nom reel est vraisemblablement present. Nom utile probable : 'MTGI'.
ALMO JARDIN,ALMO JARDIN SARL (amenagement d'espaces verts),,Casablanca,https://www.charika.ma/societe-almo-jardin-162904,a_verifier,2026-08-27,"105 lot Al Badr, Ain Sebaa, Casablanca. SARL creee en 2005, capital 1 000 000 DH, RC 142345, ICE 000015205000066. FORTE PRESOMPTION : la recherche renvoie aussi un avis PMMP 'travaux d'amenagement des espaces verts' — activite et marches publics concordants."
AMARZA,Societe AMARZA,,,,oui,2026-08-27,[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE. 'SOCIETE AMORZA' existe (hammam) mais activite sans rapport.
ANKOURI GROUPE,Ste ANKOURI GROUPE SARL AU,,,,oui,2026-08-27,"[NOM COMPLETE DEPUIS LA LISTE DES CONCURRENTS DU PV] NON TROUVEE sous cette forme. 'ANKOUR TRAVAUX' (CHARIKA 361425) et une 'Magic Infra Travaux' geree par Ankouri Youssef (Ouarzazate, 2021) existent — aucun rattachement possible."
AO00 INTERNATIONAL N 19 2025 KH,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'AO0 international n19/2025/KH' — reference d'appel d'offres.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Reference d'appel d'offres, pas un nom."
AOO N 38-2025 INFRICTUEUX,,,,,non,2026-08-27,"[BRUIT CONFIRME PAR LE PV — le PV ecrit 'L'APPEL D'OFFRES L'AOO N 38-2025 INFRICTUEUX'.] BRUIT D'EXTRACTION (audit manuel du 27/08/2026) — aucune entreprise derriere ce libelle, donc rien a chercher. Reference d'appel d'offres declare infructueux."
APERAL,APERAL,,,https://www.charika.ma/societe--148465,a_verifier,2026-08-27,"Fiche CHARIKA 148465. INCOHERENCE A LEVER : activite decrite = stations-service, negoce automobile, petrolier — verifier l'objet du marche remporte. Meme profil que SMYBAM et NORD STAR SERVICES : cet objet social generique est tres repandu au registre marocain et discrimine mal."
ARCHIVOM ETASKI,"ARCHIVOM (archivage physique et numerique, ingenierie documentaire)",,Rabat,https://archivom.com/,a_verifier,2026-08-27,"6 rue Casablanca, quartier Hassan, Rabat. Issue de Mattelicom (2006), 13+ ans d'activite. 'ETASKI' dans le nom extrait n'a pas d'equivalent trouve — possible second membre d'un groupement, a verifier sur le PDF."
